,statenum,year,disease,m_rate,p_urb,lnm_rate
311,Arkansas,1935.0,4,0.00049370783,21.400002,-7.613567
312,Arkansas,1935.0,5,8.307331e-05,21.400002,-9.395787
313,Arkansas,1935.0,6,0.000510007,21.400002,-7.581086
314,Arkansas,1935.0,7,0.0011146546,21.400002,-6.7992105
315,Arkansas,1936.0,1,760.0,21.560001,6.6333184
316,Arkansas,1936.0,2,0.0016893155,21.560001,-6.383432
317,Arkansas,1936.0,3,8.370718e-06,21.560001,-11.690771
318,Arkansas,1936.0,4,0.00058595027,21.560001,-7.4422755
319,Arkansas,1936.0,5,9.417058e-05,21.560001,-9.270403
320,Arkansas,1936.0,6,0.00052892475,21.560001,-7.5446644
321,Arkansas,1936.0,7,0.0012467138,21.560001,-6.687244
322,Arkansas,1937.0,1,680.0,21.720001,6.522093
323,Arkansas,1937.0,2,0.001544576,21.720001,-6.473006
324,Arkansas,1937.0,3,2.6029256e-06,21.720001,-12.858874
325,Arkansas,1937.0,4,0.00055858784,21.720001,-7.4900985
326,Arkansas,1937.0,5,9.787e-05,21.720001,-9.231871
327,Arkansas,1937.0,6,0.00056119077,21.720001,-7.48545
328,Arkansas,1937.0,7,0.0013248891,21.720001,-6.6264267
329,Arkansas,1938.0,1,550.0,21.880001,6.3099184
330,Arkansas,1938.0,2,0.0009490232,21.880001,-6.9600773
331,Arkansas,1938.0,3,3.6261802e-06,21.880001,-12.52733
332,Arkansas,1938.0,4,0.0005195798,21.880001,-7.56249
333,Arkansas,1938.0,5,9.272661e-05,21.880001,-9.285855
334,Arkansas,1938.0,6,0.0005889953,21.880001,-7.4370923
335,Arkansas,1938.0,7,0.0013230378,21.880001,-6.627825
336,Arkansas,1939.0,1,570.0,22.04,6.3456364
337,Arkansas,1939.0,2,0.0008866452,22.04,-7.0280657
338,Arkansas,1939.0,3,2.0619657e-06,22.04,-13.091851
339,Arkansas,1939.0,4,0.0005103365,22.04,-7.58044
340,Arkansas,1939.0,5,0.00011134615,22.04,-9.102867
341,Arkansas,1939.0,6,0.00059126865,22.04,-7.43324
342,Arkansas,1939.0,7,0.0013026468,22.04,-6.6433573
343,Arkansas,1940.0,1,500.0,,6.214608
344,Arkansas,1940.0,2,0.0009880029,,-6.919825
345,Arkansas,1940.0,3,2.0519271e-06,,-13.096731
346,Arkansas,1940.0,4,0.0005022092,,-7.5964937
347,Arkansas,1940.0,5,0.00010157039,,-9.194758
348,Arkansas,1940.0,6,0.000647383,,-7.3425727
349,Arkansas,1940.0,7,0.0014732836,,-6.520262
350,Arkansas,1941.0,1,400.0,,5.9914646
351,Arkansas,1941.0,2,0.00085894956,,-7.0598
352,Arkansas,1941.0,3,1.5420998e-06,,-13.382365
353,Arkansas,1941.0,4,0.00050735084,,-7.586308
354,Arkansas,1941.0,5,0.00010126455,,-9.197774
355,Arkansas,1941.0,6,0.0006476819,,-7.342111
356,Arkansas,1941.0,7,0.0014254142,,-6.5532928
357,Arkansas,1942.0,1,370.0,,5.913503
358,Arkansas,1942.0,2,0.0006871288,,-7.282989
359,Arkansas,1942.0,3,5.150891e-07,,-14.478926
360,Arkansas,1942.0,4,0.000526421,,-7.5494094
361,Arkansas,1942.0,5,9.735183e-05,,-9.237179
362,Arkansas,1942.0,6,0.0006737365,,-7.3026714
363,Arkansas,1942.0,7,0.0014762452,,-6.5182533
364,Arkansas,1943.0,1,390.0,,5.966147
365,Arkansas,1943.0,2,0.0006457027,,-7.3451715
366,Arkansas,1943.0,3,1.0322984e-06,,-13.783723
